year,month,usd_rub,cbr_key_rate,moex_imoex,crisis_2014,crisis_covid,crisis_2022,usd_rub_mom_pct,usd_rub_yoy_pct,moex_imoex_mom_pct,moex_imoex_yoy_pct
2012,1,31.2383,,1514.03,0,0,0,,,,
2012,2,29.885460000000002,,1597.67,0,0,0,-4.33,,5.52,
2012,3,29.33186363636364,,1517.34,0,0,0,-1.85,,-5.03,
2012,4,29.490885714285714,,1473.5,0,0,0,0.54,,-2.89,
2012,5,30.80437,,1306.42,0,0,0,4.45,,-11.34,
2012,6,32.878366666666665,,1387.52,0,0,0,6.73,,6.21,
2012,7,32.525104761904764,,1407.02,0,0,0,-1.07,,1.41,
2012,8,31.956795652173913,,1422.91,0,0,0,-1.75,,1.13,
2012,9,31.517657142857143,,1458.26,0,0,0,-1.37,,2.48,
2012,10,31.115650000000002,,1425.7,0,0,0,-1.28,,-2.23,
2012,11,31.398766666666667,,1405.97,0,0,0,0.91,,-1.38,
2012,12,30.73725909090909,,1474.72,0,0,0,-2.11,,4.89,
2013,1,30.22714375,,1546.76,0,0,0,-1.66,-3.24,4.88,2.16
2013,2,30.163069999999998,,1486.04,0,0,0,-0.21,0.93,-3.93,-6.99
2013,3,30.800290476190476,,1438.57,0,0,0,2.11,5.01,-3.19,-5.19
2013,4,31.350214285714287,,1385.88,0,0,0,1.79,6.3,-3.66,-5.95
2013,5,31.305883333333334,,1350.17,0,0,0,-0.14,1.63,-2.58,3.35
2013,6,32.306795,,1330.46,0,0,0,3.2,-1.74,-1.46,-4.11
2013,7,32.74075,,1375.79,0,0,0,1.34,0.66,3.41,-2.22
2013,8,33.02487391304348,,1364.65,0,0,0,0.87,3.34,-0.81,-4.09
2013,9,32.60167,5.5,1462.82,0,0,0,-1.28,3.44,7.19,0.31
2013,10,32.09922608695652,5.5,1510.21,0,0,0,-1.54,3.16,3.24,5.93
2013,11,32.693999999999996,5.5,1479.35,0,0,0,1.85,4.13,-2.04,5.22
2013,12,32.88070476190476,5.5,1504.08,0,0,0,0.57,6.97,1.67,1.99
2014,1,33.784352941176465,5.5,1454.45,0,0,0,2.75,11.77,-3.3,-5.97
2014,2,35.24404,5.5,1444.71,0,0,0,4.32,16.85,-0.67,-2.78
2014,3,36.198565,7.0,1369.29,0,0,0,2.71,17.53,-5.22,-4.82
2014,4,35.66772727272728,7.5,1306.01,0,0,0,-1.47,13.77,-4.62,-5.76
2014,5,34.833655,7.5,1432.03,0,0,0,-2.34,11.27,9.65,6.06
2014,6,34.449533333333335,7.5,1476.38,0,0,0,-1.1,6.63,3.1,10.97
2014,7,34.635408695652174,8.0,1379.61,0,0,0,0.54,5.79,-6.55,0.28
2014,8,36.09842727272727,8.0,1400.71,0,0,0,4.22,9.31,1.53,2.64
2014,9,37.90178095238095,8.0,1411.07,0,0,0,5.0,16.26,0.74,-3.54
2014,10,40.79868695652174,8.0,1488.47,0,0,0,7.64,27.1,5.49,-1.44
2014,11,46.217484210526315,9.5,1533.68,1,0,0,13.28,41.36,3.04,3.67
2014,12,55.77043636363636,17.0,1396.61,1,0,0,20.67,69.61,-8.94,-7.15
2015,1,65.1530875,17.0,1647.69,1,0,0,16.82,92.85,17.98,13.29
2015,2,64.51817368421052,15.0,1758.97,1,0,0,-0.97,83.06,6.75,21.75
2015,3,60.36309,14.0,1626.18,1,0,0,-6.44,66.76,-7.55,18.76
2015,4,53.21869545454546,14.0,1688.34,1,0,0,-11.84,49.21,3.82,29.27
2015,5,50.46795789473684,12.5,1609.19,1,0,0,-5.17,44.88,-4.69,12.37
2015,6,54.449040000000004,11.5,1654.55,1,0,0,7.89,58.05,2.82,12.07
2015,7,57.17966956521739,11.5,1669.0,1,0,0,5.02,65.09,0.87,20.98
